source_label,status,collected,kept,kept_after_dedup,dedup_dropped,passed_filters,filtered_noise,filtered_role,filtered_role_family,filtered_location,filtered_fresher,filtered_stale,error
LinkedIn,ok,2145,168,237,1908,1905,5,160,0,75,0,0,
Internshala,ok,1440,1097,1440,0,1131,126,67,0,116,0,0,
JobFound,ok,33,0,32,1,0,13,0,0,20,0,0,
Talentd,ok,3,2,3,0,3,0,0,0,0,0,0,
Unstop,ok,1,1,1,0,1,0,0,0,0,0,0,
CareerPage,failed,0,0,0,0,0,0,0,0,0,0,0,
Naukri,failed,0,0,0,0,0,0,0,0,0,0,0,
Foundit,failed,0,0,0,0,0,0,0,0,0,0,0,
Wellfound,failed,0,0,0,0,0,0,0,0,0,0,0,
